output_byte,character_escaped,byte_hex,input_hex_high_position,input_hex_low_position
325,'e',65,1674,2315
326,' ',20,72,713
327,'a',61,1354,1995
328,' ',20,2636,393
329,'p',70,1034,1675
330,'l',6c,2316,73
331,'e',65,714,1355
332,'b',62,1996,2637
333,' ',20,394,1035
334,'s',73,1676,2317
335,'i',69,74,715
336,'t',74,1356,1997
337,'t',74,2638,395
338,'i',69,1036,1677
339,'n',6e,2318,75
340,'g',67,716,1357
341,' ',20,1998,2639
342,'a',61,396,1037
343,'r',72,1678,2319
344,'o',6f,76,717
345,'u',75,1358,1999
346,'n',6e,2640,397
347,'d',64,1038,1679
348,' ',20,2320,77
349,'w',77,718,1359
350,'a',61,2000,2641
351,'i',69,398,1039
352,'t',74,1680,2321
353,'i',69,78,719
354,'n',6e,1360,2001
355,'g',67,2642,399
356,' ',20,1040,1681
357,'f',66,2322,79
358,'o',6f,720,1361
359,'r',72,2002,2643
360,' ',20,400,1041
361,'t',74,1682,2323
362,'h',68,80,721
363,'e',65,1362,2003
364,' ',20,2644,401
365,'d',64,1042,1683
366,'e',65,2324,81
367,'v',76,722,1363
368,'s',73,2004,2645
369,' ',20,402,1043
370,'t',74,1684,2325
371,'o',6f,82,723
372,' ',20,1364,2005
373,'d',64,2646,403
374,'o',6f,1044,1685
375,' ',20,2326,83
376,'s',73,724,1365
